City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
ferkessedougou,11,CI,1586123152,28,9.6,-5.2,306.07,2.04
zaragoza,75,ES,1586122896,67,41.66,-0.88,287.15,3.6
namibe,3,AO,1586122679,74,-15.2,12.15,295.56,3.81
bethel,90,US,1586122452,62,41.37,-73.41,290.37,4.6
half moon bay,75,US,1586122853,71,37.46,-122.43,285.37,3.6
viseu,88,PT,1586123153,1,40.66,-7.91,288.71,2.68
paita,55,PE,1586123204,57,-5.09,-81.11,300.39,6.41
pampa,1,US,1586123204,55,35.54,-100.96,295.37,10.8
qaanaaq,100,GL,1586122872,84,77.48,-69.36,262.34,0.86
nantucket,90,US,1586122549,75,41.28,-70.1,283.15,4.1
kuusamo,0,FI,1586123205,71,65.97,29.18,258.15,1
chokurdakh,100,RU,1586122760,96,70.63,147.92,260.74,3.52
ballina,5,AU,1586122695,100,-28.87,153.57,290.37,1
sao filipe,0,CV,1586122794,77,14.9,-24.5,296.05,5.33
greymouth,100,NZ,1586123206,72,-42.47,171.2,287.76,2.77
el carmen,100,CO,1586123206,61,8.51,-73.45,300.87,0.91
chicama,40,PE,1586123206,57,-7.84,-79.15,300.12,4.06
hobart,20,AU,1586122650,66,-42.88,147.33,284.82,5.1
lorengau,87,PG,1586122806,78,-2.02,147.27,300.88,5.1
guerrero negro,100,MX,1586122875,55,27.98,-114.06,291.31,5.91
kautokeino,2,NO,1586123207,84,69.01,23.04,262.08,2.34
sosnovo-ozerskoye,0,RU,1586123207,75,52.52,111.54,267.11,0.7
villanueva,75,HN,1586122812,59,15.32,-88,306.48,6.7
huilong,80,CN,1586123207,82,31.81,121.66,281.48,1.86
sioux lookout,75,CA,1586123191,35,50.1,-91.92,280.15,2.38
butaritari,16,KI,1586122776,77,3.07,172.79,301.27,5
ponta do sol,40,PT,1586122801,82,32.67,-17.1,293.15,1
mazatlan,75,MX,1586122936,51,23.22,-106.42,301.15,4.6
cap malheureux,40,MU,1586122811,78,-19.98,57.61,299.15,3.6
seljord,99,NO,1586123209,83,59.49,8.63,276.48,0.84
magadan,100,RU,1586122972,96,59.57,150.8,263.9,2.99
gravdal,75,NO,1586123209,74,68.12,13.5,272.15,2.1
christchurch,100,NZ,1586123209,87,-43.53,172.63,289.26,4.6
tomatlan,55,MX,1586123210,35,19.93,-105.25,304.05,5.13
thompson,40,CA,1586122608,62,55.74,-97.86,268.15,3.1
cherskiy,0,RU,1586122661,89,68.75,161.3,254.28,5.73
olafsvik,100,IS,1586122712,97,64.89,-23.71,272.05,25.85
otane,32,NZ,1586122954,63,-39.88,176.63,286.74,1.18
davila,20,PH,1586123211,83,18.47,120.58,297.15,1
cidreira,0,BR,1586122814,76,-30.18,-50.21,295.08,6.9
nara,40,JP,1586123008,80,34.69,135.8,282.15,1
dunedin,100,NZ,1586122792,94,-45.87,170.5,288.15,1.79
mount forest,1,CA,1586123211,53,43.98,-80.72,285.37,5.7
lagoa,98,PT,1586122692,83,39.05,-27.98,286.6,7.03
toora-khem,94,RU,1586123212,70,52.47,96.11,271.3,0.28
panguna,26,PG,1586123212,79,-6.32,155.48,295.32,1.37
trindade,20,BR,1586123212,62,-16.65,-49.49,302.15,3.1
ribeira grande,75,PT,1586122446,77,38.52,-28.7,289.15,3.1
bereda,94,ES,1586123213,82,43.27,-7.54,286.48,2.1
polson,90,US,1586123213,69,47.69,-114.16,279.26,1.5
yar-sale,100,RU,1586122774,99,66.83,70.83,273.04,1.79
nortelandia,98,BR,1586123213,79,-14.45,-56.8,301.52,0.99
lieksa,21,FI,1586123264,91,63.32,30.02,267.74,2.32
hasaki,20,JP,1586122800,80,35.73,140.83,278.15,1.5
treinta y tres,93,UY,1586123264,55,-33.23,-54.38,295.14,1.32
esperance,90,AU,1586122570,76,-33.87,121.9,287.15,4.6
kormilovka,75,RU,1586123265,93,55,74.1,278.15,4
porto seguro,90,BR,1586123265,78,-16.45,-39.06,300.15,3.1
husavik,90,IS,1586122937,92,66.04,-17.34,272.15,10.3
ettlingen,0,DE,1586123265,50,48.94,8.41,288.15,1
lakshmeshwar,52,IN,1586123266,76,15.13,75.47,295.69,3.72
morondava,2,MG,1586123266,79,-20.28,44.28,299.31,2.49
saquena,18,PE,1586123266,49,-4.67,-73.52,305.78,2.05
sawakin,14,SD,1586123266,84,19.11,37.33,298.81,3.68
mount isa,100,AU,1586122817,34,-20.73,139.5,292.15,3.6
pevek,100,RU,1586122508,91,69.7,170.31,251.14,1.7
talnakh,40,RU,1586122788,100,69.49,88.4,272.15,7
la ronge,40,CA,1586122927,42,55.1,-105.28,270.15,5.1
atuona,22,PF,1586122663,76,-9.8,-139.03,300.7,6.43
kalangala,20,UG,1586123268,88,-0.31,32.23,295.15,2.1
owando,11,CG,1586122671,80,-0.48,15.9,297.07,0.79
pemangkat,37,ID,1586123268,87,1.17,108.97,298.13,2.98
omboue,73,GA,1586122704,89,-1.57,9.26,299.88,3.86
liku,68,ID,1586123268,80,-0.73,119.89,297.18,0.71
oranjestad,20,AW,1586122651,70,12.52,-70.03,303.15,10.8
mari-turek,80,RU,1586123269,84,56.79,49.62,273.1,1.98
beringovskiy,73,RU,1586122810,85,63.05,179.32,257.85,5.09
zhangjiakou,32,CN,1586122824,39,40.81,114.88,280.86,0.16
vila velha,75,BR,1586122770,73,-20.33,-40.29,298.15,2.6
shingu,16,JP,1586122795,65,33.73,135.98,278.49,3.95
rudbar,0,AF,1586122829,29,30.15,62.6,296.22,8.13
ponta delgada,20,PT,1586123270,87,37.73,-25.67,288.15,0.5
kysyl-syr,100,RU,1586123270,97,63.9,122.76,272.31,3.89
axim,35,GH,1586123271,79,4.87,-2.24,301.54,4.02
tiznit,48,MA,1586123271,65,29.58,-9.5,289.13,2.2
yanaul,16,RU,1586123271,95,56.27,54.93,271.79,3.75
papayal,86,PE,1586123271,63,-4.08,-80.74,299.65,1.97
bronnoysund,100,NO,1586123271,86,65.46,12.2,276.15,4.6
falam,0,MM,1586123272,48,22.92,93.68,285.59,0.89
port augusta,17,AU,1586122927,93,-32.5,137.77,283.71,2.6
kodiak,1,US,1586122519,38,57.79,-152.41,278.15,9.3
severo-kurilsk,32,RU,1586122756,89,50.68,156.12,273.67,5.87
nhulunbuy,77,AU,1586122819,94,-12.23,136.77,298.15,2.73
muli,32,MV,1586123273,71,2.92,73.57,302.06,3.73
bambous virieux,40,MU,1586122882,78,-20.34,57.76,299.15,3.6
suruc,75,TR,1586123273,100,36.98,38.42,283.15,1.5
brewster,90,US,1586122787,62,41.4,-73.62,291.48,4.6
saskylakh,96,RU,1586122875,96,71.92,114.08,271.17,7.8
pidhorodne,0,UA,1586123274,30,48.58,35.11,279.15,8
pires do rio,21,BR,1586123324,67,-17.3,-48.28,297.59,1.79
gimbi,76,ET,1586122814,41,9.17,35.83,291.53,1.02
college,90,US,1586122683,64,64.86,-147.8,275.15,10.3
mwanza,99,TZ,1586123325,59,-2.52,32.9,293.55,4.5
nokaneng,0,BW,1586123325,29,-19.67,22.27,295.1,0.95
kruisfontein,100,ZA,1586122874,71,-34,24.73,290.81,6.79
ahipara,100,NZ,1586122833,64,-35.17,173.17,290.69,5.22
lima,0,PE,1586122589,65,-12.04,-77.03,298.15,7.2
tyrma,53,RU,1586123326,90,50.08,132.17,270.11,0.72
henties bay,91,NA,1586123326,88,-22.12,14.28,289.82,1.34
timizart,1,DZ,1586123326,71,36.8,4.27,285.75,4.14
khatanga,99,RU,1586122766,97,71.97,102.5,271.93,6.27
tuatapere,100,NZ,1586122964,83,-46.13,167.68,288.71,1.79
billund,6,DK,1586123327,68,55.73,9.11,282.15,3.6
lompoc,100,US,1586122832,93,34.64,-120.46,287.15,3.1
praia da vitoria,75,PT,1586122794,87,38.73,-27.07,286.15,6.38
atasu,14,KZ,1586122776,71,48.68,71.64,277.99,2.33
sao paulo de olivenca,87,BR,1586123328,67,-3.38,-68.87,303.63,0.38
georgiyevka,40,KZ,1586123328,81,43.04,74.71,285.15,6
saint-francois,0,FR,1586122798,35,46.42,3.91,287.15,5.7
winnemucca,75,US,1586123328,18,40.97,-117.74,289.15,7.7
torreon,75,MX,1586123328,27,25.55,-103.43,303.71,2.6
iqaluit,75,CA,1586122773,71,63.75,-68.51,259.15,6.7
namatanai,29,PG,1586122483,73,-3.67,152.43,300.71,1.91
kolchugino,54,RU,1586123329,87,56.3,39.38,271.87,4.44
geraldton,0,AU,1586122801,93,-28.77,114.6,289.15,3.1
la asuncion,99,VE,1586122716,70,11.03,-63.86,301.31,7.85
abu samrah,67,SY,1586122854,53,35.3,37.18,288.64,4
bambanglipuro,100,ID,1586122826,84,-7.95,110.28,299.41,1.38
saint-georges,20,GD,1586122796,74,12.06,-61.75,302.15,8.2
arinos,81,BR,1586123330,68,-15.92,-46.11,298.8,0.92
port-gentil,12,GA,1586122663,84,-0.72,8.78,300.7,5.55
chambersburg,1,US,1586123331,40,39.94,-77.66,294.26,3.1
narsaq,83,GL,1586122774,22,60.92,-46.05,272.15,3.1
charlestown,0,AU,1586123215,72,-32.95,151.67,289.82,6.7
oussouye,0,SN,1586122754,83,12.48,-16.55,300.15,3.1
chuy,81,UY,1586122764,66,-33.7,-53.46,294.55,2.94
noshiro,99,JP,1586122748,74,40.2,140.02,277.04,10.86
mandan,20,US,1586123332,80,46.83,-100.89,279.26,6.2
obihiro,28,JP,1586123332,88,42.92,143.2,274.1,1.8
pervomayskoye,100,RU,1586123332,72,43.92,46.71,282.48,1.38
luohe,100,CN,1586123332,59,33.57,114.04,282.91,1.76
moura,75,PT,1586123333,93,38.14,-7.45,288.15,4.1
svetlogorsk,0,BY,1586123333,73,52.63,29.73,276.12,2.85
khovu-aksy,74,RU,1586123333,74,51.13,93.6,267.9,0.62
oltu,100,TR,1586122785,43,40.55,42,281.9,2.61
yulara,88,AU,1586122702,38,-25.24,130.99,288.15,3.6
menzelinsk,0,RU,1586123213,89,55.73,53.1,273.15,2.35
leninskoye,0,RU,1586123384,86,47.94,132.62,272.53,1.83
abha,3,SA,1586123384,59,18.22,42.51,290.15,2.37
leshukonskoye,100,RU,1586123385,96,64.9,45.76,268.35,3.85
banjar,20,ID,1586123385,100,-8.19,114.97,301.15,2.6
ladario,40,BR,1586123385,52,-19,-57.6,307.15,3.6
hirara,100,JP,1586122509,63,24.8,125.28,293.67,7.15
muravlenko,100,RU,1586122821,94,63.79,74.52,273.37,6.9
killybegs,100,IE,1586122806,88,54.63,-8.45,282.59,7.15
serenje,21,ZM,1586123386,62,-13.23,30.24,288.86,0.83
broken hill,0,AU,1586122817,81,-31.95,141.43,284.15,3.08
corpus christi,90,US,1586123386,78,27.8,-97.4,296.15,5.1
kassala,0,SD,1586123387,53,15.45,36.4,300.28,2.93
northam,97,GB,1586122983,92,51.03,-4.22,287.04,5.36
kirovsk,13,UA,1586123387,63,48.64,38.64,277.17,5.6
sydney mines,40,CA,1586123387,95,46.24,-60.22,276.48,3.1
gerede,79,TR,1586123387,65,40.8,32.2,278.87,1.66
salcedo,10,PH,1586123388,85,12.81,121.47,297.9,2.86
kendari,37,ID,1586122659,90,-3.94,122.5,297.01,1.51
canyon,1,US,1586123388,43,34.98,-101.92,296.15,9.3
wajir,54,KE,1586123004,59,1.75,40.06,301.2,5.41
alice springs,64,AU,1586122812,76,-23.7,133.88,283.15,3.87
bosaso,0,SO,1586122648,66,11.28,49.18,301.07,2.57
bridgwater,100,GB,1586123389,62,51.13,-3,288.71,7.2
kefamenanu,17,ID,1586123389,78,-9.45,124.48,294.57,0.79
katsuura,20,JP,1586122836,52,35.13,140.3,281.15,3.6
necochea,69,AR,1586122811,93,-38.55,-58.74,292.04,0.89
rajka,0,HU,1586123390,52,48,17.2,282.04,1
berlevag,75,NO,1586123390,92,70.86,29.09,271.15,11.3
bex,0,CH,1586123390,53,46.25,7.01,283.15,0.5
hualmay,0,PE,1586122809,63,-11.1,-77.61,298.51,3.87
leningradskiy,100,RU,1586122798,88,69.38,178.42,254.36,8.45
yadgir,66,IN,1586123390,34,16.77,77.13,302.22,2.63
gazanjyk,67,TM,1586123391,76,39.24,55.52,284.37,3.18
novobirilyussy,0,RU,1586123391,94,56.95,90.67,271.16,3.22
emerald,0,AU,1586123391,52,-23.53,148.17,291.48,5.7
cabo san lucas,75,MX,1586122855,26,22.89,-109.91,303.71,4.1
vanimo,100,PG,1586122831,84,-2.67,141.3,299.36,2.95
naze,75,JP,1586122824,63,28.37,129.48,290.15,5.7
mecca,0,SA,1586123102,46,21.43,39.83,300.39,0.58
belgatoy,100,RU,1586123392,87,43.19,45.83,282.15,2
jishou,51,CN,1586123392,78,28.32,109.72,282.44,0.56
asfi,60,MA,1586123392,88,32.3,-9.24,290.82,3.15
antalaha,35,MG,1586122921,82,-14.9,50.28,298.29,5.46
suntar,63,RU,1586122803,96,62.14,117.63,271.39,3.26
post falls,75,US,1586123132,75,47.72,-116.95,282.04,3.6
arona,75,ES,1586123393,77,28.1,-16.68,294.82,3.1
panuco,75,MX,1586123393,74,22.05,-98.17,302.04,6.2
san miguel,20,SV,1586123444,49,13.48,-88.18,307.15,3.6
praia,20,CV,1586123444,73,14.92,-23.51,295.15,8.7
hamilton,90,US,1586123445,71,39.18,-84.53,288.71,2.6
villa juarez,75,MX,1586123271,31,24.65,-107.54,305.93,2.1
caravelas,43,BR,1586123445,78,-17.71,-39.25,299.2,6.67
codrington,15,AU,1586123445,72,-38.27,141.97,284.33,3.44
khandyga,98,RU,1586123446,94,62.67,135.6,260.28,0.98
oltenesti,0,RO,1586123446,28,46.58,27.9,280.37,4.6
taltal,1,CL,1586123446,59,-25.4,-70.48,294.6,2.05
tulare,90,US,1586123446,45,36.27,-118.8,292.15,5.1
pakxan,23,LA,1586123446,79,18.38,103.66,295.55,1.35
port hedland,96,AU,1586123447,94,-20.32,118.57,297.15,2.1
kuching,40,MY,1586123444,94,1.55,110.33,298.15,1.5
ambon,39,ID,1586123447,72,-3.7,128.18,301.09,1.04
la rioja,20,ES,1586123447,67,42.25,-2.5,287.15,4.6
canon city,75,US,1586123447,15,38.44,-105.24,297.15,6.7
esmeraldas,20,BR,1586123448,69,-19.76,-44.31,299.15,4.6
labuhan,71,ID,1586123448,86,-6.88,112.21,298.78,2.19
mayo,90,US,1586123448,62,38.89,-76.51,295.37,4.1
matao,0,BR,1586123448,60,-21.6,-48.37,296.47,1.02
talas,14,TR,1586123160,47,38.69,35.55,286.15,7.7
ha giang,99,VN,1586123449,77,22.83,104.98,290.72,0.61
talcahuano,0,CL,1586123449,63,-36.72,-73.12,290.15,8.7
cambados,75,ES,1586123449,93,42.51,-8.81,288.15,2.6
kita,0,ML,1586123450,10,13.03,-9.49,306.04,2.23
cabedelo,20,BR,1586123450,83,-6.98,-34.83,302.15,3.1
jizan,20,SA,1586123450,62,17.33,42.67,304.15,2.1
rosarito,75,MX,1586123450,55,32.33,-117.03,291.15,5.1
lavrentiya,100,RU,1586123450,88,65.58,-171,260.98,4.39
portland,40,US,1586123450,44,45.52,-122.68,290.37,3.28
tahlequah,90,US,1586123451,72,35.92,-94.97,289.26,4.05
byron bay,7,AU,1586123003,100,-28.65,153.62,295.93,1
port lincoln,74,AU,1586123451,81,-34.73,135.87,289.16,2.75
vestmannaeyjar,100,IS,1586123452,94,63.44,-20.27,280.79,13.7
kahului,40,US,1586123452,58,20.89,-156.47,301.15,3.6
nikolskoye,1,RU,1586123452,74,59.7,30.79,271.15,1
airai,33,TL,1586123452,67,-8.93,125.41,289.11,0.72
andrews,1,US,1586123453,26,32.32,-102.55,299.15,6.2
strezhevoy,90,RU,1586123453,60,60.73,77.59,277.15,5
chake chake,54,TZ,1586123453,70,-5.25,39.77,302.17,3.37
corozal,95,CO,1586123453,57,9.32,-75.29,304.76,4.47
olinda,40,BR,1586123453,74,-8.01,-34.86,303.15,2.6
dunmore town,4,BS,1586123454,57,25.5,-76.65,296.74,3.15
aasiaat,0,GL,1586123454,83,68.71,-52.87,264.3,9.79
port blair,69,IN,1586123454,75,11.67,92.75,300.81,3.66
roma,75,US,1586123296,62,43.21,-75.46,285.37,7.2
stephenville,90,US,1586123362,77,32.22,-98.2,291.48,4.6
anda,65,CN,1586123504,61,46.4,125.32,274.52,3.59
moussoro,28,TD,1586123505,11,13.64,16.49,304.62,2.24
pacifica,75,US,1586123505,76,37.61,-122.49,285.93,3.1
nichinan,20,JP,1586123505,81,31.6,131.37,279.15,3.6
coquimbo,0,CL,1586123505,68,-29.95,-71.34,292.15,5.7
guangyuan,96,CN,1586123506,68,32.44,105.82,283.67,0.58
smoky lake,100,CA,1586123506,83,54.12,-112.47,265.37,4.02
sampit,99,ID,1586123506,97,-2.53,112.95,296.63,1.12
eyl,8,SO,1586123506,72,7.98,49.82,300.35,4.96
aksu,28,CN,1586123506,25,41.12,80.26,285.39,1.82
san jose de sisa,75,PE,1586123507,100,-6.62,-76.69,290.15,1.5
pisco,0,PE,1586123507,30,-13.7,-76.22,295.93,8.2
ponca city,1,US,1586123507,55,36.71,-97.09,291.48,4.1
bubaque,0,GW,1586123508,70,11.28,-15.83,299.72,7.29
san ignacio,3,BZ,1586123508,35,17.16,-89.07,311.15,2.1
nanortalik,96,GL,1586123508,80,60.14,-45.24,269.36,4.26
nemuro,2,JP,1586123508,85,43.32,145.57,275.12,6.08
bhiwani,76,IN,1586123508,30,28.78,76.13,298.05,2.28
ust-tsilma,54,RU,1586123509,95,65.44,52.15,269.34,5.25
isangel,75,VU,1586123509,88,-19.55,169.27,300.15,4.1
ariquemes,83,BR,1586123509,76,-9.91,-63.04,302.96,0.49
aripuana,79,BR,1586123509,73,-9.17,-60.63,303.18,0.31
rio grande,13,BR,1586123455,71,-32.03,-52.1,294.81,5.7
mangrol,0,IN,1586123510,66,21.12,70.12,298.41,3.68
ankang,47,CN,1586123510,64,32.68,109.02,284.08,0.27
den helder,0,NL,1586123510,43,52.96,4.76,288.15,4.1
brae,100,GB,1586123510,87,60.4,-1.35,282.15,13.9
saint-joseph,20,RE,1586123510,78,-21.37,55.62,297.15,4.1
tonantins,96,BR,1586123514,74,-2.87,-67.8,302.65,1.02
salta,40,AR,1586123514,64,-24.79,-65.41,296.15,3.6
porto-vecchio,7,FR,1586123514,86,41.59,9.28,286.15,1
sulangan,73,PH,1586123514,76,11.14,123.72,298.54,3.69
koulamoutou,98,GA,1586123514,84,-1.13,12.47,297.03,0.82
leh,27,IN,1586123515,28,34.17,77.58,264.47,2.1
saint-pierre,26,RE,1586123515,78,-21.34,55.48,297.15,4.1
tautira,1,PF,1586123515,62,-17.73,-149.15,305.15,7.7
baoning,90,CN,1586123515,100,25.34,110.03,286.15,1
